"var_name","scale_prefix","item_suffix","var_class","item_type","ori_name"
"current_us_state_of_residence_prolific","current","us_state_of_residence_prolific","factor","prolific_demo","Current.u.s.state.of.residence_prolific"
"fluent_languages_prolific","fluent","languages_prolific","factor","prolific_demo","Fluent.languages_prolific"
"age_prolific","age","prolific","factor","prolific_demo","Age_prolific"
"sex_prolific","sex","prolific","factor","prolific_demo","Sex_prolific"
"ethnicity_simplified_prolific","ethnicity","simplified_prolific","factor","prolific_demo","Ethnicity.simplified_prolific"
"country_of_birth_prolific","country","of_birth_prolific","factor","prolific_demo","Country.of.birth_prolific"
"country_of_residence_prolific","country","of_residence_prolific","factor","prolific_demo","Country.of.residence_prolific"
"nationality_prolific","nationality","prolific","factor","prolific_demo","Nationality_prolific"
"language_prolific","language","prolific","factor","prolific_demo","Language_prolific"
"student_status_prolific","student","status_prolific","factor","prolific_demo","Student.status_prolific"
"employment_status_prolific","employment","status_prolific","factor","prolific_demo","Employment.status_prolific"
"flag_dupe_survey","flag","dupe_survey","logical","data_screen_flags","flag_dupe_survey"
"flag_most_complete","flag","most_complete","factor","data_screen_flags","flag_most_complete"
"flag_no_survey","flag","no_survey","logical","data_screen_flags","flag_no_survey"
"max_identical","max","identical","integer","data_screen_flags","max_identical"
"max_identical_perc","max","identical_perc","integer","data_screen_flags","max_identical_perc"
"flag_rec_include","flag","rec_include","logical","data_screen_flags","flag_rec_include"
"demo_race","demo","race","factor","demo_coal","demo_race"
"demo_ethnicity","demo","ethnicity","factor","demo","demo_ethnicity"
"arkansas_hc_location_ab_ak","arkansas","hc_location_ab_ak","factor","assets_barriers_coal","arkansas_HC_location_AB_AK"
"healthy_needs_ab_03","healthy","needs_ab_03","factor","assets_barriers_coal","healthy_needs_AB_3"
"adult_hc_barriers_ab_04","adult","hc_barriers_ab_04","factor","assets_barriers_coal","adult_HC_barriers_AB_4"
"adult_mentalhc_barriers_ab_05","adult","mentalhc_barriers_ab_05","factor","assets_barriers_coal","adult_mentalHC_barriers_AB_5"
"child_mentalhc_barriers_ab_06","child","mentalhc_barriers_ab_06","factor","assets_barriers_coal","child_mentalHC_barriers_AB_6"
"teleheath_barriers_ab_07","teleheath","barriers_ab_07","factor","assets_barriers_coal","teleheath_barriers_AB_7"
"ab_02_important_01","ab","02_important_01","factor","assets_barriers_coal","AB_2_important_1"
"ab_02_important_02","ab","02_important_02","factor","assets_barriers_coal","AB_2_important_2"
"ab_02_important_03","ab","02_important_03","factor","assets_barriers_coal","AB_2_important_3"
"ab_33_rank_01","ab","33_rank_01","factor","assets_barriers_coal","AB_33_rank_1"
"ab_33_rank_02","ab","33_rank_02","factor","assets_barriers_coal","AB_33_rank_2"
"ab_33_rank_03","ab","33_rank_03","factor","assets_barriers_coal","AB_33_rank_3"
"qol_tot","qol","tot","integer","scale","QOL_tot"
"sdoh_01_r","sdoh","01_r","logical","recoded_item","SDOH_1_R"
"sdoh_02_r","sdoh","02_r","logical","recoded_item","SDOH_2_R"
"sdoh_04_r","sdoh","04_r","logical","recoded_item","SDOH_4_R"
"sdoh_05_r","sdoh","05_r","logical","recoded_item","SDOH_5_R"
"sdoh_06_r","sdoh","06_r","logical","recoded_item","SDOH_6_R"
"sdoh_03_r","sdoh","03_r","logical","recoded_item","SDOH_3_R"
"sdoh_07_r","sdoh","07_r","logical","recoded_item","SDOH_7_R"
"sdoh_tot","sdoh","tot","integer","scale","SDOH_tot"
"ch_01_r","ch","01_r","integer","recoded_item","CH_1_R"
"ch_02_r","ch","02_r","logical","recoded_item","CH_2_R"
"ch_03_15_01_r","ch","03_15_01_r","logical","recoded_item","CH_3_15_1_R"
"ch_03_15_02_r","ch","03_15_02_r","logical","recoded_item","CH_3_15_2_R"
"ch_03_15_03_r","ch","03_15_03_r","logical","recoded_item","CH_3_15_3_R"
"ch_03_15_04_r","ch","03_15_04_r","logical","recoded_item","CH_3_15_4_R"
"ch_03_15_05_r","ch","03_15_05_r","logical","recoded_item","CH_3_15_5_R"
"ch_03_15_06_r","ch","03_15_06_r","logical","recoded_item","CH_3_15_6_R"
"ch_03_15_07_r","ch","03_15_07_r","logical","recoded_item","CH_3_15_7_R"
"ch_03_15_08_r","ch","03_15_08_r","logical","recoded_item","CH_3_15_8_R"
"ch_03_15_09_r","ch","03_15_09_r","logical","recoded_item","CH_3_15_9_R"
"ch_03_15_10_r","ch","03_15_10_r","logical","recoded_item","CH_3_15_10_R"
"ch_03_15_11_r","ch","03_15_11_r","logical","recoded_item","CH_3_15_11_R"
"ch_03_15_12_r","ch","03_15_12_r","logical","recoded_item","CH_3_15_12_R"
"ch_03_15_13_r","ch","03_15_13_r","logical","recoded_item","CH_3_15_13_R"
"ch_tot","ch","tot","integer","scale","CH_tot"
"prbq_tot","prbq","tot","integer","scale","PRBQ_tot"
"sf36_physical_functioning","sf36","physical_functioning","integer","subscale","SF36_Physical_functioning"
"sf36_ph_limitations","sf36","ph_limitations","integer","subscale","SF36_PH_limitations"
"sf36_mh_limitations","sf36","mh_limitations","numeric","subscale","SF36_MH_limitations"
"sf36_energy","sf36","energy","integer","subscale","SF36_Energy"
"sf36_emotional_wb","sf36","emotional_wb","numeric","subscale","SF36_Emotional_WB"
"sf36_social_funct","sf36","social_funct","numeric","subscale","SF36_Social_funct"
"sf36_pain","sf36","pain","numeric","subscale","SF36_Pain"
"sf36_general_health","sf36","general_health","integer","subscale","SF36_General_Health"
"==___","==","__","logical","subscale","==..."
